GEOLOC_CD,MILSTAMP_CD,WTR_BDY_CD,ICAO_CD,CTRY_CD,GEOLOC_NM,GEOLOC_TY_CD,LAT_CN,LONG_CN,UPD_SOURCE,UPDATE_TIME,GEOLOC_INDX,TRX_TIME,TRX_DELETED
AGCT,   ,54,    ,W VA,Altizer          ,CTY,38.827221,-81.148055,,0,1310,0,0
AGCU,   ,36,    ,N Y,Altmar           ,CTY,43.51,-76.0025,,0,1311,0,0
AGCV,   ,13,    ,GEO,Alto             ,CTY,34.466943,-83.568054,,0,1312,0,0
AGD1,   ,BR,    ,BRAZL,Alto Sucuriu Nort,APT,-19.15,-52.933333,,0,1313,0,0
AGDA,ACH,SZ,LSZR,SWITZ,St Gallen Altenrh,IAP,47.484999,9.560833,,0,1314,0,0
AGDB,   ,17,    ,ILL,Alto Pass        ,CTY,37.570277,-89.317499,,0,1315,0,0
AGDC,   ,CO,    ,COLOM,Alto Vaupes West ,AFD,1.439444,-72.473332,,0,1316,0,0
AGDG,   ,17,    ,ILL,Alton Ms R 26    ,DOC,38.879443,-90.175832,,0,1317,0,0
AGDH,   ,18,    ,IND,Alton            ,CTY,38.122499,-86.417777,,0,1318,0,0
AGDJ,   ,17,    ,ILL,Alton            ,CTY,38.9,-90.15,,0,1319,0,0
AGDK,   ,21,    ,KEN,Alton            ,CTY,38.083333,-84.933333,,0,1320,0,0
AGDL,CK3,RQ,    ,PUERT,Aguadilla        ,PRT,18.433333,-67.15,,0,0,,0
AGDM,   ,19,    ,IOWA,Alton            ,CTY,42.987499,-96.010277,,0,1321,0,0
AGDN,   ,20,    ,KAN,Alton            ,CTY,39.470832,-98.947777,,0,1322,0,0
AGDR,   ,36,    ,N Y,Alton            ,CTY,43.166666,-76.983333,,0,1323,0,0
AGDS,   ,44,    ,RH IS,Alton            ,RPA,41.437499,-71.717777,,0,1324,0,0
AGDU,   ,51,    ,VIR,Alton            ,CTY,36.573054,-79.003055,,0,1325,0,0
AGDV,   ,54,    ,W VA,Alton            ,CTY,38.819166,-80.214166,,0,1326,0,0
AGDX,   ,17,    ,ILL,Altona           ,CTY,41.114722,-90.164444,,0,1327,0,0
AGDY,   ,36,    ,N Y,Altona           ,CTY,44.888333,-73.656111,,0,1328,0,0
AGEB,   ,12,    ,FLA,Altoona          ,RPA,28.963333,-81.646666,,0,1329,0,0
AGEC,   ,19,    ,IOWA,Altoona          ,CTY,41.644166,-93.464444,,0,1330,0,0
AGED,   ,20,    ,KAN,Altoona          ,CTY,37.523888,-95.661111,,0,1331,0,0
AGEE,ALN,17,KALN,ILL,St Louis Rgnl    ,CAP,38.890277,-90.04611,,0,1332,0,0
AGEF,   ,GM,    ,GERMA,Altona           ,CTY,53.55,10,,0,1333,0,0
AGEH,   ,GM,    ,GERMA,Altona           ,PRT,53.55,9.933333,,0,1334,0,0
AGEJ,   ,42,    ,PENN,Altoona          ,NYI,40.515277,-78.400833,,0,1335,0,0
AGEK,   ,8,    ,COL,Altura           ,CTY,39.740277,-104.803888,,0,1336,0,0
AGEL,   ,42,    ,PENN,Altoona          ,CTY,40.533333,-78.4,,0,1337,0,0
AGEN,   ,18,    ,IND,Altona           ,CTY,41.351388,-85.155,,0,1338,0,0
AGEU,   ,21,    ,KEN,Altro            ,CTY,37.380832,-83.382221,,0,1339,0,0
AGEW,   ,GM,    ,GERMA,Altroggen        ,CTY,51.25,7.65,,0,1340,0,0
AGFJ,   ,12,    ,FLA,Alturas          ,RPA,27.871666,-81.716666,,0,1341,0,0
AGFM,   ,6,    ,CAL,Alturas          ,CTY,41.483333,-120.533333,,0,1342,0,0
AGFP,   ,5,    ,ARK,Altus            ,CTY,35.44611,-93.762222,,0,1343,0,0
AGGA,AKS,BP,AGGA,SOLMI,Auki             ,CAP,-8.702222,160.681666,,0,0,,0
AGGF,   ,BR,SWMA,,Aero Agricola Ful,APT,-11.83361,-46.266666,,,,,
AGGN,LTS,40,KLTS,OKLA,Altus Afb        ,MAP,34.663888,-99.27361,,0,1344,0,0
AGGR,   ,40,    ,OKLA,Altus            ,CTY,34.65,-99.333333,,0,1345,0,0
AGGS,   ,40,    ,OKLA,Altus            ,NAV,34.65,-99.266666,,0,1346,0,0
AGHH,MQX,ET,HAMK,ETHIO,Makale           ,APT,13.467499,39.53361,,0,1347,0,0
AGHJ,   ,6,    ,CAL,Alum Rock        ,CTY,37.366666,-121.816666,,0,1348,0,0
AGHZ,   ,RS,    ,RUSSI,Ambarchik        ,PRT,69.616666,162.3,,0,1349,0,0
AGLR,LQA,TU,    ,TURKY,Agalar Nato Suppl,PRT,36.282499,33.832499,,0,0,,0
AGNG,   ,40,    ,OKLA,Altus            ,STG,34.65,-99.266666,,0,1350,0,0
AGNH,   ,40,    ,OKLA,Altus            ,NAV,34.65,-99.266666,,0,1351,0,0
AGNJ,   ,40,    ,OKLA,Altus            ,TNG,34.418054,-99.701111,,0,1352,0,0
AGNQ,   ,54,    ,W VA,Alum Bridge      ,CTY,39.039166,-80.655277,,0,1353,0,0
AGNW,   ,51,    ,VIR,Alum Ridge       ,CTY,36.942777,-80.46,,0,1354,0,0
AGNZ,   ,12,    ,FLA,Alva             ,CTY,26.715277,-81.610277,,0,1355,0,0
AGPC,   ,21,    ,KEN,Alva             ,CTY,36.734999,-83.424443,,0,1356,0,0
AGPH,   ,40,    ,OKLA,Alva             ,CTY,36.783333,-98.666666,,0,1357,0,0
AGPM,   ,56,    ,WYO,Alva             ,CTY,44.694721,-104.440833,,0,1358,0,0
AGPS,   ,AY,NGPS,,Agap South       ,APT,-84.5,77.35,,,,,
AGRF,   ,48,    ,TEX,Alvarado         ,CTY,32.4,-97.2,,0,1359,0,0
AGRG,   ,MX,    ,MEXIC,Alvarado         ,PRT,18.766666,-95.75,,0,1360,0,0
AGRH,MLM,MX,MMMM,MEXIC,Gen Francisco Muj,CAP,19.85,-101.025554,,0,1361,0,0
AGRJ,   ,13,    ,GEO,Alvaton          ,CTY,33.170832,-84.580554,,0,1362,0,0
